A,B,C,D
1653,1645,380,1645
1135,585,230,1293
1817,1125,928,1099
311,311,311,843
1094,1175,1369,93
598,598,598,442
289,578,289,583
919,1838,919,1885
1174,1325,815,1466
1976,1195,1105,545
1807,1033,1812,1545
6,462,332,1365
918,1042,264,1038
1685,1689,650,606
1449,1525,701,1684
268,1803,378,723
1606,1424,1205,597
91,1743,342,629
393,393,393,1644
1560,335,884,1097
3,893,1607,1541
618,618,618,1882
310,842,1670,745
254,508,254,1015
177,354,177,416
1052,526,526,1634
193,386,193,1085
805,1610,805,1752
918,918,918,178
872,1773,1805,1129
751,1835,1533,157
942,533,704,1613
1803,1779,931,230
501,501,1002,1056
250,500,250,1574
1542,524,1533,1456
1937,1627,1842,1896
639,1451,223,1968
679,838,1079,1209
1370,1253,700,632
865,1730,865,1237
578,1451,945,338
611,611,611,987
401,1986,685,1769
970,970,1940,1335
212,198,302,351
1127,449,69,199
1485,1485,1485,420
286,572,286,849
1639,28,1623,1929
243,1464,843,1969
1536,1519,19,279
515,515,1030,1280
663,1326,663,693
929,1448,1648,819
780,780,1560,1038
462,671,1092,1482
944,1888,944,838
1197,963,1680,1945
580,1078,1058,605
1658,829,829,1582
1381,1381,1381,882
1292,1880,1916,818
37,191,1212,804
168,1885,559,670
25,1777,1491,759
261,1388,1480,190
211,1045,868,177
871,871,1742,422
21,21,21,741
653,1306,653,1961
1578,1662,1634,1074
788,1710,1210,57
116,116,232,706
1831,1384,288,1805
1007,1007,1007,993
1663,1775,1742,1539
1715,1316,222,1230
806,806,1612,605
1232,616,616,740
22,11,11,304
1229,1641,198,1915
134,1658,42,912
1426,1813,1382,373
120,982,732,151
1850,690,1940,638
263,263,526,983
374,374,748,1255
496,496,992,908
1335,1679,1806,1492
826,354,402,723
570,285,285,87
675,1350,675,1973
638,638,1276,786
241,482,241,1411
483,966,483,936
1639,1639,1639,1345
349,349,698,160
992,1023,893,1177
786,786,1572,889
63,63,63,1447
1572,1310,1731,1415
706,706,1412,872
1858,1246,664,1577
1291,1157,1197,1579
621,621,1242,63
1338,669,669,371
1188,813,604,661
482,613,406,574
586,293,293,1657
122,122,244,1888
885,1770,885,141
718,1436,718,1237
593,1186,593,1931
142,142,284,914
1197,887,178,19
347,694,347,1313
725,854,1134,821
850,503,1584,1966
836,75,249,1726
146,146,292,1765
1954,977,977,533
1851,1750,1049,453
1940,1276,583,1907
290,290,580,35
164,164,164,1061
211,211,211,897
758,758,758,479
1719,1100,1553,200
612,955,845,587
1794,142,1841,1450
353,353,706,1214
1915,1915,1915,1128
1587,1501,1109,995
542,1084,542,822
360,720,360,1905
1494,622,808,1451
333,1825,1563,347
1945,654,907,1110
1161,180,1319,225
1554,363,1770,1212
894,585,1834,370
1895,1257,278,1762
251,251,251,501
1521,1185,745,1794
224,134,1423,1121
466,932,466,1755
1815,268,1729,659
1075,1205,997,1702
1596,798,798,502
518,1036,518,202
1954,210,1963,677
550,1100,550,428
1657,413,1529,1317
121,704,382,535
620,620,620,1469
1293,99,1427,1432
1039,1039,1039,1818
678,1554,1537,1372
1102,1471,655,817
850,1325,1187,1432
537,537,537,164
914,1185,1172,1630
1077,1047,835,344
1133,1478,1168,1225
213,902,851,611
936,300,1783,1154
795,1645,1160,1858
111,111,222,1114
621,1242,621,1541
1738,869,869,223
777,777,777,1204
1943,1172,1966,195
1471,1053,1612,1103
1521,205,614,1340
1224,1286,1145,1941
624,548,1841,1074
373,746,373,827
1650,1650,1650,1591
870,435,435,254
185,166,1545,99
1169,1477,719,1825
516,258,258,700
832,1891,1367,848
113,1179,633,1011
722,1444,722,1212
1190,917,1832,875
1673,107,346,843
227,454,227,901
1623,1623,1623,469
1895,10,1727,1585
893,1786,893,1390
104,208,104,1032
457,1199,504,1154
343,1274,1994,1736
623,1487,1990,1763
937,385,1802,1326
686,686,1372,1980
1372,965,128,875
712,1645,218,916
1502,751,751,1103
109,1090,1338,1541
1888,1919,755,1612
129,258,129,1260
55,1539,395,445
1093,1093,1093,1940
1278,639,639,1723
934,934,1868,1853
1656,694,207,1329
1310,1310,1310,281
1002,1231,482,458
973,973,1946,489
1340,58,1774,1618
1624,812,812,8
1859,408,1759,1091
854,1206,1852,1830
704,704,1408,710
737,1265,1541,1425
1103,441,1087,799
1868,869,1486,469
896,1792,896,838
167,799,1292,43
469,1854,1902,1943
524,262,262,69
863,1726,863,1831
587,1507,1050,242
232,116,116,1653
1289,1279,308,1809
583,494,1216,665
1139,1458,1826,800
1567,1225,677,1448
472,472,944,1914
655,916,59,1614
22,250,1028,1691
1058,1491,1902,781
893,893,1786,1791
1377,299,273,1542
314,28,1991,1471
627,1254,627,1507
1172,1581,40,952
220,1769,739,1339
676,70,1273,1665
986,1972,986,848
1169,1169,1169,104
1052,1052,1052,859
5,1689,1594,1499
1164,582,582,22
1302,615,1609,695
1685,1926,35,146
15,139,1854,585
97,97,194,728
902,1953,853,891
227,1150,1099,378
1395,1395,1395,935
1076,814,1342,248
1779,483,738,1030
1658,671,1520,1627
1224,612,612,397
1854,1286,1416,984
1080,540,540,1835
771,191,248,1226
33,1368,1664,453
977,977,1954,674
207,415,292,41
1796,805,704,626
1944,357,1404,415
34,34,68,1604
667,1758,1634,1986
39,78,39,745
1389,1490,1742,58
1891,1931,1501,1132
1235,1746,871,677
400,1779,1137,937
1942,1692,672,1367
154,154,154,342
776,666,1369,1095
254,1175,1576,494
481,345,474,391
184,129,684,296
1942,1877,850,1804
569,569,569,1222
411,411,822,45
873,1531,232,1748
327,857,620,784
1511,237,1818,568
138,276,138,1231
717,236,1428,139
1876,1288,190,1392
1675,1234,129,1910
848,848,1696,821
130,65,65,1574
1441,522,952,716
691,691,1382,1129
61,1695,1914,1081
397,794,397,461
1557,1377,191,687
1627,1250,422,795
361,174,490,488
864,1728,864,1443
247,494,247,907
807,807,1614,1333
640,1917,749,427
362,724,362,1247
838,1205,1563,717
384,768,384,1521
1168,74,1502,1852
1332,427,1330,1477
645,1867,1628,987
1080,1601,1307,1351
1920,960,960,514
436,1872,692,1064
850,850,1700,910
360,720,360,1285
409,818,409,1772
1208,604,604,87
888,888,888,1387
1310,655,655,1715
729,259,236,816
1783,1111,1337,246
1367,1367,1367,656
893,1309,1428,210
474,1866,1692,1608
1369,81,604,421
847,621,1153,1424
1197,755,597,1829
826,413,413,1411
558,1116,558,1166
701,396,284,1551
1369,773,143,1160
1745,1793,286,1586
54,27,27,571
622,145,408,1556
861,861,1722,522
65,783,496,680
550,550,1100,827
433,433,433,545
227,930,1662,51
1850,925,925,1555
274,548,274,1479
158,1085,1798,1457
1971,1971,1971,443
402,402,804,1725
832,1497,335,866
261,390,563,711
1130,565,565,768
257,257,514,631
430,674,939,1485
756,181,848,1978
1406,249,359,88
130,65,65,723
132,174,1960,811
30,730,1707,1105
332,140,1357,529
1277,1465,169,1752
1988,589,596,389
878,1290,822,1470
1403,1403,1403,1934
316,489,405,794
1589,1519,72,622
1406,1062,1124,402
575,474,714,1407
477,477,477,1388
1768,935,1063,327
284,1457,209,54
1617,1546,1993,1596
1287,165,1289,770
1565,268,1402,836
1462,1076,1771,1106
895,895,1790,1820
238,119,119,446
303,1852,1705,365
1286,643,643,949
615,1532,67,1837
348,348,696,1095
1277,1277,1277,1957
1103,1006,569,1100
344,1555,1467,924
1550,1633,271,1274
1533,608,193,886
634,1268,634,686
784,1568,784,1988
1300,1300,1300,777
1446,1175,942,724
1348,1802,540,1990
957,957,1914,1636
364,182,182,1575
766,474,1049,1560
1576,629,759,640
262,262,524,653
342,171,171,426
952,1545,1840,1186
557,1679,1502,420
970,485,485,1415
932,932,1864,652
684,1644,1941,887
909,1818,909,440
1290,1083,617,751
1672,715,471,1229
83,83,83,490
181,362,181,1649
1073,887,454,1123
163,1972,413,1241
644,322,322,1299
413,600,1192,233
329,1155,1379,579
1862,382,1662,1598
378,852,496,935
1772,1418,780,1704
973,990,1390,1315
1239,1889,383,469
1394,528,1731,46
186,1788,1271,387
945,1890,945,606
720,720,1440,158
523,523,523,552
576,576,576,113
593,115,1718,1800
1256,628,628,1062
872,872,872,1550
895,1571,783,997
1151,1710,1652,68
1985,1514,865,1314
442,884,442,1109
514,514,1028,67
619,1140,1387,1810
1117,26,1040,616
78,39,39,1383
536,268,268,913
602,602,602,402
1120,1450,52,1599
1271,1958,1211,1945
662,431,1232,162
425,425,425,620
494,1990,1160,1323
788,1199,1075,424
841,841,1682,1175
731,731,1462,787
583,583,1166,507
846,1110,699,1971
584,1173,1056,576
1398,1181,976,1143
866,964,1318,1680
278,139,139,1103
1158,1733,959,836
1455,1455,1455,602
15,30,15,1613
866,1934,735,1666
1829,970,1828,1106
997,997,1994,867
1070,1391,673,1291
1291,122,1610,162
1725,1725,1725,170
1345,10,885,549
1838,919,919,556
480,480,960,942
181,1925,938,42
331,697,1457,1752
750,750,1500,1444
731,731,1462,1441
1320,660,660,985
981,1908,121,1372
1123,1123,1123,121
247,374,1374,334
442,221,221,639
72,36,36,1274
422,422,422,1858
572,572,572,88
1575,1575,1575,1024
1036,965,1177,922
765,6,1646,1770
792,45,1330,1488
1827,1484,105,206
281,281,281,1904
1921,42,870,127
1066,1762,1192,291
570,570,1140,1863
1090,968,861,568
816,1294,1379,1534
958,739,1497,939
542,271,271,1058
1002,501,501,850
702,1404,702,1656
1307,1128,748,1435
654,786,365,716
578,262,488,322
661,1430,1062,859
1792,1378,644,1030
1517,1517,1517,580
786,1572,786,1835
911,911,911,180
1368,1019,1566,1000
1956,978,978,901
74,1533,1572,1020
428,856,428,1825
834,1664,1040,368
529,1173,1839,1720
321,1005,1066,1200
1075,1387,95,1393
550,1216,501,33
627,1254,627,481
1205,508,1696,230
1519,515,1962,1782
590,1382,1382,657
653,970,805,654
1230,615,615,1230
1974,791,1516,650
1579,1564,638,1886
1773,1979,1081,1271
464,464,928,504
917,932,1919,1581
282,564,282,1046
859,859,859,763
1360,4,1408,1575
64,128,64,1442
444,888,444,1638
1215,247,1169,1526
207,1189,795,44
353,353,353,939
191,191,382,948
1841,1720,1899,1823
685,1851,1178,1276
1001,167,553,710
1700,461,492,1393
1069,1865,318,1646
1757,1757,1757,1507
337,884,278,630
176,176,352,319
1680,640,1852,1792
1333,339,1898,306
1311,873,1395,545
1364,245,1542,521
384,192,192,1603
453,1613,257,1716
1407,1407,1407,894
372,1197,866,582
1066,134,859,573
610,610,1220,1897
1678,701,1193,1668
1306,1885,177,1716
1391,965,1004,1973
1859,1192,634,30
1892,1892,1892,53
480,480,960,1621
316,158,158,591
42,1939,1377,242
750,138,125,842
1723,1878,1014,1667
815,815,1630,432
1339,11,346,454
1551,1551,1551,1746
1888,831,1054,1835
1619,319,1553,830
1925,1782,470,1379
1404,1903,282,1304
548,785,366,750
98,655,1436,1175
74,1409,1448,1627
1085,414,354,899
443,886,443,1252
1536,768,768,1379
837,1674,837,315
828,1878,380,722
1141,1201,1984,1823
382,344,61,706
1131,1049,749,559
1116,1930,1980,1192
1576,1576,1576,974
1503,1813,386,582
55,669,1098,594
1983,1165,227,1706
625,406,1657,357
807,1477,1660,112
1023,1870,1993,868
1387,1102,154,997
586,18,802,174
1750,752,1609,1261
136,75,1800,976
1857,476,1447,1214
707,707,707,1053
711,711,711,1507
480,1233,935,420
1206,101,1820,1193
349,1544,1218,418
1009,1009,1009,865
929,609,143,1515
858,1939,217,1807
545,1259,1857,1841
1920,1713,965,1766
929,683,92,1109
741,8,549,1388
794,413,1926,963
1435,1104,1921,495
1624,351,1384,1225
560,1120,560,1243
977,1255,1110,1919
588,588,588,1195
1580,1580,1580,89
179,358,179,1941
990,990,1980,151
673,1985,506,1134
923,923,1846,1248
152,152,304,1757
611,323,1609,1882
174,142,947,1540
953,1906,953,23
224,224,224,1274
1870,1870,1870,903
1360,194,261,1956
1888,944,944,629
1085,668,159,130
907,1078,1990,1664
328,779,818,1145
197,17,1968,1604
423,423,846,1985
798,1596,798,1226
1421,1421,1421,630
9,799,1791,1166
409,1254,1024,1753
418,332,307,1166
1501,520,314,1620
895,721,651,937
155,155,155,965
1278,1520,1902,337
1210,1125,371,1491
1816,908,908,760
913,913,913,962
1104,1159,533,128
1396,17,1774,1242
1242,274,1927,1325
1987,347,604,503
1369,1561,1017,9
1150,1549,512,1829
526,263,263,1964
1189,1713,578,449
1778,390,823,1093
1129,1136,362,1561
297,297,297,1389
1384,856,1168,953
706,947,1364,1534
989,989,989,788
158,158,316,686
1200,1638,1644,327
37,819,1125,1389
1526,176,714,1909
1972,1581,28,1087
303,47,332,647
300,150,150,1507
998,998,1996,1171
836,908,150,1608
1348,290,75,1976
1032,516,516,529
1911,998,1382,253
591,1108,823,1712
1927,1174,1550,1287
1414,707,707,1199
1603,1677,1683,1473
1698,1446,1249,319
135,1537,457,1756
1892,1381,1915,187
41,193,414,510
503,348,1315,1659
248,424,1801,1217
202,202,404,330
1327,336,446,39
1416,1452,1613,707
913,633,351,1618
365,515,628,1397
837,849,1568,1969
778,434,1375,1612
900,1800,900,1029
1470,1028,1694,357
1883,1970,1055,915
151,302,151,1614
227,227,454,812
581,981,1872,670
128,1679,819,748
1698,1833,1515,1015
1069,1792,421,26
594,599,1168,1190
89,178,89,1953
1474,1363,697,1820
749,1274,1258,21
357,357,357,42
1951,1951,1951,769
1564,1564,1564,769
1772,292,1401,879
520,520,520,165
450,450,450,39
249,249,498,1124
1611,757,962,1573
929,1788,1889,1427
244,244,244,1765
356,154,1473,1759
48,24,24,1525
134,211,1703,820
1449,913,1054,709
131,139,1259,171
847,103,661,1527
1737,1583,1037,1108
1117,805,1390,104
1828,914,914,1685
453,1703,898,300
877,1656,1638,958
307,307,614,508
846,791,940,104
190,1663,1658,804
410,205,205,1795
47,230,1896,1126
1784,892,892,1764
1204,157,688,1355
845,845,1690,1269
1277,3,1491,438
1741,1082,20,1546
48,96,48,1178
1655,1244,339,516
47,47,94,564
485,12,1391,240
738,369,369,1128
1589,1044,353,476
1371,17,1533,661
1568,1568,1568,314
682,682,1364,1235
1211,1722,396,410
1932,966,966,1829
405,1990,1037,1412
1574,1574,1574,1384
720,720,1440,1626
1729,84,331,1162
1268,1332,452,987
557,1170,1310,1427
834,300,127,1702
1363,868,1481,1155
1977,1444,1744,376
1985,1617,1776,1245
664,1328,664,925
391,391,782,1525
616,1232,616,653
741,1853,1921,376
1088,1088,1088,139
1987,496,1012,1617
479,1825,500,738
955,803,1797,1042
1105,579,562,1389
236,236,236,1101
1530,1282,1422,1861
768,806,531,1073
743,743,743,1618
1101,132,661,218
43,86,43,840
461,679,1073,1141
680,340,340,1547
1239,652,325,1205
387,387,387,1103
1074,293,601,1899
281,141,404,1810
1344,1272,1606,519
803,1606,803,979
1773,1206,522,1395
830,1839,1068,1012
664,879,1264,1255
1709,745,347,1898
737,737,1474,620
352,608,1916,1825
238,238,476,1089
1828,1372,1579,442
819,819,819,1665
1193,1822,718,1082
1829,833,1635,304
594,594,594,773
956,1912,956,1428
1296,648,648,697
1428,1548,1775,374
68,193,453,1609
1656,1196,1759,1411
554,1108,554,907
1952,1952,1952,854
1504,90,1152,1937
560,1573,1183,1066
1563,1819,526,1759
1852,1704,924,287
1508,1508,1508,1821
301,119,1284,1080
813,813,1626,1731
1359,1911,1571,1634
1005,413,251,698
1536,531,1448,1557
1738,869,869,1577
603,321,179,921
648,30,1908,118
752,719,1760,1191
730,1460,730,719
1020,586,910,681
1531,1391,154,434
528,1056,528,1869
355,355,710,1490
206,1300,650,1705
1260,1260,1260,650
1830,915,915,1671
500,1182,1735,1909
1311,1756,929,387
510,290,1544,803
412,1293,87,899
432,1273,631,61
1720,90,1761,1371
1338,669,669,647
720,1440,720,131
487,1602,101,651
1569,690,1415,1385
1070,1832,742,743
258,258,516,1174
1468,639,152,1396
1678,719,1240,1477
1869,1660,468,1903
384,79,1905,949
1344,672,672,271
1568,205,1106,143
65,130,65,578
240,480,240,1300
874,437,437,1529
1725,266,1803,399
590,1180,590,1030
404,808,404,1117
360,1251,159,1859
658,807,26,327
294,588,294,676
818,371,408,462
110,584,1483,1283
1873,338,494,529
533,533,533,953
1642,281,778,165
1798,437,957,211
335,335,670,211
1996,998,998,946
1611,1744,131,1845
114,114,228,1949
919,1838,919,1797
1948,1377,1193,1687
758,1516,758,1898
1291,757,1686,1195
14,14,14,3
1500,282,1524,562
1756,878,878,443
872,872,872,1867
1577,1261,258,311
1495,1908,1685,389
123,699,1554,1520
848,700,859,403
938,1575,432,583
1863,407,1123,169
1882,145,663,222
1374,1818,1251,1111
1504,1504,1504,1510
1091,1598,981,1023
888,1847,1751,84
1852,1852,1852,1811
167,167,167,1343
1950,1816,1921,1081
1602,801,801,1255
397,397,397,1059
436,1874,1127,1819
1294,1810,1302,698
143,146,1362,1949
708,354,354,787
840,365,1204,679
796,1592,796,81
221,610,1728,1903
286,726,135,74
721,721,721,1678
1913,469,538,615
867,1273,1905,615
1042,740,625,1220
796,796,1592,1035
4,4,4,1265
46,23,23,1417
586,586,586,1734
1492,1492,1492,1206
403,403,806,837
979,1958,979,109
693,564,434,1621
955,74,12,177
165,484,1807,1794
848,848,848,1267
510,751,195,1520
1793,1834,148,1681
472,472,944,1084
1609,1998,1771,1192
371,371,371,1953
906,1913,1115,642
241,241,482,39
148,148,296,962
966,966,966,1695
1110,555,555,39
769,1800,1563,1705
1300,518,210,966
560,560,560,606
288,288,288,20
105,105,210,1662
1151,724,1054,193
51,102,51,191
727,1881,361,829
549,1098,549,1754
1888,1888,1888,1337
408,483,1823,1642
517,517,1034,1954
784,392,392,25
716,358,358,1904
939,52,106,1175
417,417,834,782
400,400,800,1712
291,291,291,1402
299,299,598,1044
1131,676,1173,872
928,1184,160,473
894,1788,894,414
757,1486,1562,1207
1858,1858,1858,1692
1325,1086,1944,149
580,290,290,1890
1032,1231,1213,540
217,217,434,1384
1183,1417,1080,1077
298,914,1788,1084
37,1012,282,141
1437,630,1984,1505
306,433,785,1936
72,36,36,440
1607,1607,1607,928
686,686,686,1348
1358,1516,795,1409
930,930,930,1084
1567,1567,1567,611
1231,41,459,1470
206,1925,1408,1507
492,492,492,161
1932,1932,1932,106
1720,801,97,1006
1494,1019,534,1622
740,1480,740,900
271,542,271,1360
864,297,1236,1648
587,1985,122,1242
442,442,884,416
1490,745,745,644
194,388,194,1900
1232,1745,1519,1724
678,339,339,1529
1478,1936,1120,1997
996,1254,1562,664
1429,1761,1574,198
601,601,1202,1165
686,343,343,1087
1637,127,469,1397
608,1216,608,270
261,1418,385,1262
351,351,702,1275
562,1833,1603,932
1956,1895,405,399
1638,819,819,1723
1966,1039,592,839
374,187,187,625
552,445,348,1455
883,883,883,1634
646,646,1292,1314
125,1434,618,782
92,1619,861,395
1870,1669,1078,1628
946,1270,1104,1171
203,749,1696,1206
999,1841,1354,934
1971,912,1748,1867
1865,668,498,57
632,632,1264,148
1511,1582,671,111
363,363,726,111
1381,632,1379,93
144,1385,1770,705
709,1418,709,259
1872,1194,4,1942
615,615,1230,114
638,670,1714,1582
1865,1937,1365,1511
1912,1923,1998,1828
1051,228,294,318
613,1115,1832,833
20,854,979,974
1933,1412,705,1503
147,1260,795,1358
828,1270,781,953
1440,1491,957,1522
914,914,914,1443
219,219,438,761
1354,534,1838,1357
994,373,748,1118
1081,1081,1081,1147
510,510,1020,884
280,140,140,1217
375,979,1765,716
1857,238,514,374
940,1185,409,1489
178,1857,407,837
206,579,657,421
1118,1118,1118,609
620,310,310,1926
1212,1791,1607,1802
426,852,426,330
522,522,522,1198
1653,593,554,669
1870,935,935,1377
684,684,684,1591
587,1550,1822,572
1582,466,1306,317
1106,756,420,418
815,775,419,1221
813,1841,1682,100
615,489,1677,46
1658,1831,1088,1364
1240,555,529,1025
406,812,406,1820
978,96,914,901
831,831,831,1610
201,1513,1785,912
108,216,108,1430
1957,1957,1957,326
1678,1752,1179,994
276,138,138,896
326,326,652,177
826,826,826,93
50,365,1879,1378
122,1997,246,902
1119,839,1593,942
1452,1452,1452,835
1299,1299,1299,1662
456,474,1358,1695
2000,1109,665,1698
921,313,1190,452
1294,534,1193,85
358,716,358,1136
893,1561,387,1365
336,911,1858,1784
1325,620,1984,283
686,343,343,804
1444,1328,1680,453
333,98,1987,1050
447,447,894,1952
577,727,80,446
695,695,1390,1313
952,952,952,1515
758,758,1516,1442
785,785,1570,846
965,1143,583,1359
1753,1275,1017,1369
923,923,1846,314
145,290,145,340
56,1030,393,72
1754,1501,953,1220
305,7,648,1769
993,993,1986,1000
1248,1988,1146,1912
1588,794,794,1387
436,436,872,1084
1092,542,1458,593
301,301,602,1847
1995,1432,1099,1039
389,463,1329,774
163,863,470,468
1458,1362,63,953
1820,910,910,75
335,670,335,673
635,635,1270,304
308,1353,1084,47
537,34,365,1078
130,1735,238,652
1882,1131,1290,615
82,1510,433,726
1856,928,928,968
830,396,1716,736
1407,889,1622,1613
896,65,248,1326
1966,1380,710,761
369,234,1982,799
1308,1397,1348,646
826,1864,1752,1067
106,106,212,689
654,1802,566,1692
111,111,222,803
1642,1387,1820,745
984,984,1968,179
63,1268,715,508
350,774,402,675
127,254,127,500
1212,1212,1212,191
1192,1678,1745,1035
54,1899,1684,1899
840,840,1680,1816
507,177,491,1018
173,519,4,1407
528,528,528,933
1042,521,521,1110
1428,1428,1428,541
602,602,1204,1052
1923,770,366,365
1425,1788,272,511
409,409,818,332
488,488,976,1350
102,1579,701,1980
339,678,339,1943
922,922,922,748
1607,31,1526,1084
1912,123,1401,687
933,1734,842,638
51,581,1985,1724
1216,820,543,245
1439,1451,7,1409
958,1861,772,812
886,737,1369,1207
277,277,277,199
1424,1424,1424,1968
966,901,1754,357
1192,1729,986,168
1462,214,633,951
604,604,604,1899
1330,665,665,1210
1054,1132,855,1879
1949,1949,1949,1202
1483,225,1021,682
1382,691,691,960
1951,474,1593,808
1080,783,32,1105
1344,1344,1344,974
333,1715,175,758
919,1396,496,1303
180,180,180,1529
1460,1621,1123,1802
376,895,637,603
1265,1476,894,635
364,364,364,1875
143,524,984,1251
1547,1538,979,1945
128,128,256,13
437,437,874,1464
58,58,58,1282
1755,1724,428,1401
114,114,114,1578
1133,53,1763,931
902,1165,855,1645
1052,1052,1052,1653
1849,242,203,1934
1994,997,997,1771
170,766,543,1245
347,926,1905,344
1897,1841,1276,903
951,1902,951,622
672,1155,1048,1057
32,32,64,571
1304,1832,1622,626
1803,580,1171,1098
866,433,433,1248
1479,1795,265,423
1489,960,601,1416
1636,818,818,1788
1174,1890,686,1895
1123,1530,1481,1771
520,213,384,1156
1486,1090,1099,1285
1252,599,1845,95
1417,1417,1417,803
1434,1066,1424,431
665,1914,1086,7
1672,87,296,1338
551,518,103,444
30,15,15,1646
320,542,699,1237
417,206,635,642
782,782,1564,447
709,709,1418,140
2,1977,1578,1138
1071,176,64,1319
157,799,669,1180
569,890,225,341
1584,488,853,1001
1049,1578,1038,451
1703,1703,1703,1927
1190,1103,181,1224
1004,1224,1676,840
17,34,17,1501
711,1577,52,886
940,1880,940,1172
623,1246,623,419
890,1662,568,812
797,1459,1294,501
1670,429,840,1121
999,999,1998,1323
1254,66,1173,529
1569,1529,57,1787
88,88,176,87
113,1493,539,62
1273,1063,164,50
30,200,45,912
1817,749,461,597
1396,1974,1051,1530
673,563,184,527
23,1401,1912,373
301,602,301,1750
1271,1206,1978,1616
823,23,878,34
13,13,26,1596
1196,598,598,1858
1054,1054,1054,194
195,714,612,1307
1126,175,1851,1495
1570,1857,1405,1033
833,1727,1655,1585
939,1878,939,1602
172,86,86,129
1305,51,593,887
52,758,262,1808
1140,837,1937,232
722,1444,722,1495
1099,1781,1421,911
1537,1205,298,1339
1413,903,42,1667
563,834,1842,1924
398,479,434,425
1800,1483,1024,101
848,1696,848,904
459,713,1298,415
98,98,196,676
182,237,1045,986
172,344,172,1897
956,478,478,1814
766,654,874,1774
432,661,1626,1850
111,1413,36,502
169,612,1522,888
1844,1263,1531,130
1457,832,639,987
1053,1967,1742,1937
1410,705,705,763
321,1272,805,1666
1062,1062,1062,1652
79,1142,109,1926
356,178,178,1021
601,1869,471,569
544,1642,1483,1607
488,976,488,1391
597,1107,483,836
1882,713,570,527
744,961,410,1608
1546,1917,1236,567
184,1517,995,1348
892,1784,892,1749
15,30,15,1272
1043,1274,941,1730
1725,1241,982,1777
1602,440,201,920
830,830,1660,738
1610,805,805,1514
1284,1263,1872,1529
1892,1342,830,255
539,539,1078,393
205,67,837,1445
131,262,131,1468
1516,1983,1472,1713
329,658,329,1621
827,1654,827,304
90,643,480,1972
1774,604,258,777
220,47,914,656
1599,1599,1599,246
901,1802,901,1757
1750,967,1591,138
1864,932,932,1515
1681,853,1847,1611
1288,868,221,1682
4,4,8,859
1623,874,705,426
464,277,416,1399
769,1716,165,801
857,1714,857,390
187,187,374,1048
220,220,440,1797
672,672,672,90
245,245,245,234
350,648,381,1260
1708,1777,555,127
613,786,927,458
1071,1071,1071,1156
1746,1366,383,13
601,601,1202,1134
1759,1206,360,999
848,712,1458,543
826,1652,826,878
881,667,747,1705
826,1358,962,1034
63,1126,417,310
1778,727,182,141
1314,283,488,569
1558,23,798,761
1165,1013,1044,691
308,616,308,1075
730,1460,730,142
608,947,1748,1526
786,1095,418,1128
1487,983,1518,802
1662,1408,182,1717
1174,1235,281,1657
430,860,430,1184
1373,447,1528,953
590,590,1180,1024
476,1198,49,1791
1318,1596,1571,673
214,214,428,131
154,1470,1919,723
1536,1086,1094,1034
23,1944,1978,1989
1609,200,1672,1450
1372,1666,1771,542
66,66,66,1999
517,517,1034,1198
541,472,1734,1654
1689,4,1746,1236
1012,745,193,67
1265,916,1048,1540
678,1356,678,1523
223,759,1752,672
694,1388,694,502
589,1178,589,786
1192,1734,1466,200
1655,1578,1016,1984
641,1844,1887,1590
1202,1891,265,508
1642,1643,1240,238
164,825,1373,1199
586,1865,1766,1956
1022,553,306,158
344,248,1354,1167
904,452,452,44
1104,1679,1419,731
1594,111,1015,328
726,524,633,9
28,28,56,6
1827,1827,1827,686
620,310,310,1305
1216,1807,736,719
30,30,60,354
1163,1955,419,381
650,325,325,1158
812,812,1624,937
1571,1706,1204,564
1411,946,1914,294
115,1053,1963,1571
253,253,506,532
1382,691,691,561
1135,803,35,1282
349,349,698,265
1125,785,1220,1550
903,233,416,1852
506,1757,456,481
77,77,154,1028
1792,896,896,1549
1238,1307,1416,1913
241,482,241,1485
756,756,1512,863
111,413,175,492
1297,885,444,880
895,1790,895,1300
903,1707,1410,1412
591,1497,1015,1246
639,1278,639,1195
58,1777,1365,1110
113,1457,1878,1407
1948,1276,1852,301
869,1738,869,1089
511,1022,511,1269
147,178,1123,1677
929,850,753,377
691,691,1382,935
716,1994,1736,598
650,523,530,1901
433,433,866,1966
1568,1414,712,855
974,1310,1279,147
910,455,455,555
1389,1799,518,368
1770,1182,831,103
814,1922,761,1953
272,136,136,1112
108,54,54,965
1683,1245,611,1165
1520,331,1686,634
10,1921,1340,939
933,1742,316,436
754,1905,475,1226
137,517,954,1608
880,440,440,917
809,1618,809,360
84,42,42,541
903,903,903,1834
1001,569,1242,1070
553,1907,1266,584
1546,1301,838,1662
961,543,1783,1556
498,1444,961,540
725,1714,1206,577
1220,979,1901,1094
1208,604,604,1935
188,188,376,1274
30,1499,670,1063
1224,612,612,1143
1778,1973,720,74
921,559,1232,1607
750,1502,997,1990
1466,214,821,17
659,1318,659,519
1006,201,1481,1792
1056,725,1415,28
544,35,581,511
1625,1087,102,317
1884,1846,1715,795
877,877,1754,31
1019,183,500,1093
1641,1641,1641,820
1188,594,594,221
513,515,922,953
381,381,762,604
1663,1350,1436,1329
88,442,496,340
26,1231,1560,391
44,22,22,90
482,1780,790,601
143,286,143,1315
1036,1036,1036,800
1856,1792,1249,72
1085,1031,1973,1622
1758,1358,1633,456
123,246,123,802
